2023-10-20 00:50:02,872 INFO  BytecodeProviderInitiator:53 - [] HHH000021: Bytecode provider name : bytebuddy
2023-10-20 00:50:02,972 INFO  SpringPersistenceUnitInfo:87 - [] No LoadTimeWeaver setup: ignoring JPA class transformer
2023-10-20 00:50:02,988 INFO  HikariDataSource:110 - [] HikariPool-1 - Starting...
2023-10-20 00:50:02,991 WARN  DriverDataSource:70 - [] Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2023-10-20 00:50:03,090 INFO  HikariPool:565 - [] HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@270f28cf
2023-10-20 00:50:03,092 INFO  HikariDataSource:123 - [] HikariPool-1 - Start completed.
2023-10-20 00:50:03,130 INFO  DialectFactoryImpl:93 - [] HHH035001: Using dialect: org.hibernate.dialect.MySQLDialect, version: 5.7
2023-10-20 00:50:03,294 WARN  EntityBinder:779 - [] HHH000137: Root entity should not hold a PrimaryKeyJoinColum(s), will be ignored: lv.venta.models.users.AcademicPersonel
2023-10-20 00:50:03,301 WARN  EntityBinder:779 - [] HHH000137: Root entity should not hold a PrimaryKeyJoinColum(s), will be ignored: lv.venta.models.users.Student
2023-10-20 00:50:03,355 INFO  BytecodeProviderInitiator:53 - [] HHH000021: Bytecode provider name : bytebuddy
2023-10-20 00:50:04,014 INFO  JtaPlatformInitiator:51 - [] HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-10-20 00:50:04,263 INFO  AbstractEntityManagerFactoryBean:437 - [] Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-10-20 00:50:04,560 WARN  JpaBaseConfiguration$JpaWebConfiguration:231 - [] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
